0 0	    0        0
0 0	    0        0
0 0	    0        0
0 0	    0        0
0 0	    0        0
1 0	    1        0
2 0	    2        0
3 0	    3        0
4 0	    4        0
5 0	    5        0
6 0	    6        0
7 0	    7        0
8 0	    8        0
9 0	    9        0
10 0	   10        0
11 0	   11        0
12 0	   12        0
13 0	   13        0
14 0	   14        0
15 0	   15        0
16 0	   16        0
17 0	   17        0
18 0	   18        0
19 0	   19        0
20 0	   20        0
21 0	   21        0
22 0	   22        0
23 0	   23        0
24 0	   24        0
25 0	   25        0
26 0	   26        0
27 0	   27        0
28 0	   28        0
29 0	   29        0
30 0	   30        0
31 0	   31        0
32 0	   32        0
33 0	   33        0
34 0	   34        0
35 0	   35        0
36 0	   36        0
37 0	   37        0
38 0	   38        0
39 0	   39        0
40 0	   40        0
41 1	   41        1
42 0	   42        0
43 1	   43        1
44 1	   44        1
45 1	   45        1
46 1	   46        1
47 1	   47        1
48 0	   48        0
49 2	   49        2
50 0	   50        0
51 2	   51        2
52 0	   52        0
53 0	   53        0
54 2	   54        2
55 0	   55        0
56 2	   56        2
57 0	   57        0
58 0	   58        0
59 1	   59        1
60 0	   60        0
61 0	   61        0
62 0	   62        0
63 0	   63        0
64 0	   64        0
65 1	   65        1
66 1	   66        1
67 0	   67        0
68 1	   68        1
69 0	   69        0
70 0	   70        0
71 0	   71        0
72 0	   72    0
73 0	   73        0
74 1	   74        1
75 0	   75        0
76 0	   76        0
77 1	   77        1
78 0	   78        0
79 0	   79        0
80 0	   80        0
81 0	   81        0
82 0	   82        0
83 1	   83        1
84 1	   84        1
85 0	   85        0
86 1	   86        1
87 0	   87        0
88 0	   88        0
89 0	   89        0
90 0	   90    0
91 0	   91        0
92 1	   92        1
93 0	   93        0
94 0	   94        0
95 3	   95        3
96 0	   96        0
97 3	   97        3
98 0	   98        0
99 0	   99        0
100 1	  100        1
101 0	  101        0
102 1	  102        1
103 0	  103        0
104 0	  104        0
105 1	  105        1
106 0	  106        0
107 0	  107        0
108 0	  108        0
109 0	  109        0
110 0	  110        0
111 1	  111        1
112 1	  112        1
113 1	  113        1
114 0	  114        0
115 1	  115        1
116 0	  116        0
117 1	  117        1
118 0	  118        0
119 1	  119        1
120 1	  120        1
121 1	  121        1
122 0	  122        0
123 0	  123        0
124 0	  124        0
125 0	  125    0
126 1	  126        1
127 0	  127    0
128 1	  128        1
129 0	  129    0
130 0	  130        0
131 1	  131        1
132 0	  132        0
133 0	  133        0
134 1	  134        1
135 0	  135        0
136 0	  136        0
137 1	  137        1
138 0	  138        0
139 0	  139        0
140 0	  140        0
141 1	  141        1
142 0	  142        0
143 0	  143    0
144 0	  144    0
145 0	  145    0
146 0	  146    0
147 0	  147    0
148 0	  148    0
149 0	  149        0
150 1	  150        1
151 1	  151        1
152 1	  152        1
153 1	  153        1
154 1	  154        1
155 1	  155        1
156 1	  156        1
157 1	  157        1
158 1	  158        1
159 1	  159        1
160 1	  160        1
161 1	  161        1
162 1	  162        1
163 0	  163        0
164 1	  164        1
165 1	  165        1
166 0	  166        0
167 0	  167        0
