branchline,bias,testcase
56,100,t1
66,100,t1
68,100,t1
72,execute,t1
84,100,t1
86,100,t1
90,execute,t1
111,100,t1
113,0,t1
117,100,t1
119,0,t1
120,100,t1
121,0,t1
126,0,t1
128,0,t1
141,0,t1
56,100,t2
66,100,t2
68,100,t2
72,execute,t2
84,100,t2
86,100,t2
90,execute,t2
111,100,t2
113,50,t2
117,100,t2
119,0,t2
120,100,t2
121,0,t2
126,0,t2
128,0,t2
141,0,t2
56,100,t3
66,100,t3
68,100,t3
72,execute,t3
84,100,t3
86,100,t3
90,execute,t3
111,100,t3
113,67,t3
117,100,t3
119,0,t3
120,100,t3
121,0,t3
126,0,t3
128,0,t3
141,0,t3
56,75,t4
66,100,t4
68,75,t4
72,execute,t4
84,100,t4
86,75,t4
90,execute,t4
111,100,t4
113,50,t4
117,100,t4
119,25,t4
120,75,t4
121,0,t4
126,0,t4
128,0,t4
141,0,t4
56,80,t5
66,100,t5
68,80,t5
72,execute,t5
84,100,t5
86,80,t5
90,execute,t5
111,100,t5
113,40,t5
117,100,t5
119,20,t5
120,80,t5
121,0,t5
126,0,t5
128,0,t5
141,0,t5
